99, 2775, 12101, 51.49, 66
99, 2775, 12101, 51.74, 66
99, 2775, 12101, 51.75, 67
99, 2775, 12101, 51.34, 67
99, 2775, 12101, 51.47, 67
97, 2775, 12101, 51.13, 67
99, 2775, 12101, 51.61, 67
99, 2775, 12101, 51.63, 68
99, 2775, 12101, 51.31, 67
99, 2767, 12101, 51.46, 67
99, 2775, 12101, 51.35, 68
99, 2775, 12101, 52.88, 68
99, 2775, 12101, 51.71, 68
99, 2775, 12101, 51.77, 68
99, 2775, 12101, 51.74, 68
99, 2775, 12101, 52.42, 68
99, 2775, 12101, 52.00, 68
99, 2767, 12101, 51.69, 68
99, 2775, 12101, 52.03, 68
99, 2775, 12101, 52.08, 68
99, 2775, 12101, 51.94, 68
99, 2767, 12101, 53.92, 69
89, 2745, 12101, 50.57, 68
