==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:03:52 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	413.9	483	0	0	265	0	23	25	165	65536
2.0	347.7	1081	1	0	713	2	60	67	233	65536
3.0	398.3	1351	0	0	1018	0	24	33	271	65536
4.0	441.2	1651	1	0	1187	1	43	37	376	65536
5.0	414.4	1598	1	0	1256	1	43	33	258	65536
6.0	272.0	1876	2	0	1313	1	69	50	435	65536
7.0	297.6	367	1	0	26	1	34	30	269	65536
8.0	399.3	1556	1	0	962	1	39	32	516	65536
9.0	479.8	1932	1	0	1569	1	33	34	289	65536
10.0	315.8	1242	2	0	852	1	54	46	281	65536
11.0	358.4	984	0	0	626	1	50	46	255	65536
12.0	400.4	1487	1	0	1088	1	50	44	298	65536
13.0	358.2	1984	0	0	1731	0	29	33	186	65536
14.0	327.0	1866	1	0	1407	1	57	114	281	65536
15.0	374.8	2224	0	0	1900	1	39	30	249	65536
16.0	348.4	1600	1	0	1157	1	40	120	276	65536
17.0	383.9	1658	0	0	1454	0	25	22	153	65536
18.0	385.3	1243	0	0	1026	0	20	27	166	65536
19.0	393.0	2457	0	0	2144	1	40	41	225	65536
20.0	335.2	1719	0	0	1502	0	25	30	157	65536
21.0	431.9	1422	0	0	1186	0	27	51	153	65536
22.0	348.3	1249	0	0	1071	0	22	22	129	65536
23.0	353.1	1527	1	0	1237	1	45	40	199	65536
24.0	349.3	1811	1	0	1472	1	46	45	240	65536
25.0	300.7	1343	1	0	1104	1	50	44	137	65536
26.0	397.3	1567	0	0	1210	1	46	41	263	65536
27.0	360.7	1702	0	0	1467	0	22	42	167	65536
28.0	336.5	1310	0	0	964	1	45	39	255	65536
29.0	381.0	1514	1	0	1227	1	40	41	198	65536
30.0	358.5	725	0	0	423	0	24	21	251	65536
31.0	527.9	1538	0	0	1270	1	41	41	180	65536
32.0	408.7	1688	1	0	1373	1	40	41	228	65536
33.0	391.9	1664	1	0	1349	1	39	41	229	65536
34.1	344.6	1276	1	0	948	1	41	38	242	65536
35.1	319.7	910	0	0	700	0	24	31	150	65536
36.1	318.9	958	1	0	588	1	42	57	263	65536
