==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:47:44 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	429.7	1676	1	0	1490	1	19	21	140	65536
2.0	385.9	1306	1	0	944	1	52	48	254	65536
3.0	438.9	2042	1	0	1725	1	44	37	228	65536
4.0	363.2	1211	1	0	919	1	42	33	209	65536
5.0	353.6	626	1	0	449	1	22	20	129	65536
6.0	350.4	944	1	0	662	1	31	30	215	65536
7.0	432.0	1423	1	0	1019	1	55	86	255	65536
8.0	392.2	1438	1	0	1144	1	38	32	216	65536
9.0	406.2	1056	1	0	737	1	38	30	244	65536
10.0	345.0	849	1	0	606	0	22	22	194	65536
11.0	409.6	782	1	0	599	0	20	19	138	65536
