==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:15:21 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	239.6	1001	1	0	653	1	44	35	259	65536
2.0	174.6	2063	1	0	1581	1	68	74	331	65536
3.0	364.0	1100	0	0	580	0	31	50	434	65536
4.0	375.6	1138	0	0	810	0	38	105	181	65536
5.0	269.7	1936	4	0	1001	4	223	119	576	65536
6.0	376.9	780	0	0	374	1	66	45	290	65536
7.0	57.4	2044	3	0	12	4	240	164	1611	65536
8.0	106.5	1071	1	0	12	3	64	55	930	65536
9.0	316.2	925	1	0	582	1	54	56	224	65536
10.0	342.4	376	2	0	4	1	37	31	295	65536
11.0	318.4	296	0	0	3	0	39	48	202	65536
12.0	366.4	690	1	0	137	1	107	81	357	65536
13.0	353.2	306	1	0	17	0	37	46	201	65536
14.0	461.6	657	1	0	329	1	34	45	244	65536
15.0	330.5	289	0	0	16	1	35	51	182	65536
16.0	376.1	321	0	0	16	0	38	70	192	65536
17.0	438.9	288	0	0	15	0	37	42	188	65536
