==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-17 19:37:40 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	420.1	2366	0	0	2070	1	64	37	188	65536
2.0	400.0	2432	0	0	2261	0	23	33	111	65536
3.0	438.9	2589	0	0	2431	0	32	23	100	65536
4.0	339.5	2693	0	0	2111	1	71	33	471	65536
5.0	431.7	2544	0	0	2255	1	44	33	206	65536
6.0	389.3	3137	0	0	2778	1	86	36	230	65536
7.0	340.9	2346	0	0	1937	1	77	47	276	65536
8.0	391.3	2329	1	0	1953	1	81	40	248	65536
9.0	360.3	2061	0	0	1829	0	64	14	149	65536
10.0	350.8	2066	1	0	1468	1	65	37	489	65536
11.0	357.3	2277	0	0	1912	1	84	31	242	65536
12.0	316.8	1932	0	0	1540	0	66	17	306	65536
13.0	361.4	2114	0	0	1780	1	49	58	220	65536
14.0	388.0	2457	0	0	1962	1	56	60	373	65536
15.0	306.0	1924	0	0	1567	1	37	31	282	65536
16.0	386.3	2463	0	0	2123	1	36	67	231	65536
17.0	359.2	2066	1	0	1719	1	40	62	238	65536
18.0	389.6	2446	0	0	2123	1	37	40	240	65536
19.0	337.6	1993	0	0	1773	0	17	17	183	65536
20.0	370.7	2092	1	0	1769	1	50	60	207	65536
21.0	390.1	2965	1	0	2508	1	91	62	295	65536
22.0	463.7	2672	0	0	2370	1	41	39	215	65536
23.0	357.0	2166	0	0	1850	1	51	36	224	65536
24.0	356.2	2521	0	0	1900	1	37	32	546	65536
25.0	350.2	2157	0	0	1944	0	20	19	169	65536
26.0	435.9	2800	0	0	2074	1	39	33	647	65536
27.0	412.2	1775	1	0	1489	0	24	42	214	65536
28.0	431.4	1851	1	0	1567	1	37	34	205	65536
29.0	395.2	1857	1	0	1490	1	100	37	223	65536
30.0	438.8	1898	1	0	1502	1	50	98	241	65536
31.0	415.1	1835	1	0	1596	1	30	32	171	65536
32.0	386.2	2064	1	0	1684	1	49	47	276	65536
33.0	363.2	1614	2	0	1201	1	117	48	238	65536
34.0	310.4	1438	1	0	1010	1	97	58	262	65536
35.0	389.7	1447	1	0	1001	1	241	45	151	65536
36.1	376.6	1861	1	0	1657	0	32	30	136	65536
37.1	448.5	2090	1	0	1666	1	98	78	240	65536
38.1	449.3	2243	1	0	1906	0	30	53	248	65536
39.1	408.5	2079	1	0	1080	8	156	123	699	65536
40.1	395.0	1046	0	0	853	1	22	34	131	65536
41.1	416.0	1557	0	0	1232	1	57	30	231	65536
42.1	386.6	1890	1	0	1580	1	37	49	216	65536
43.1	359.0	1791	1	0	1471	1	41	52	219	65536
44.1	334.3	1252	0	0	1047	0	18	19	165	65536
45.1	441.8	1828	0	0	1390	1	22	33	377	65536
46.1	438.8	1866	1	0	1644	0	20	29	167	65536
47.1	335.1	1500	1	0	950	1	42	38	462	65536
48.1	352.8	1670	2	0	1264	1	106	39	251	65536
49.1	381.9	1494	0	0	1313	0	21	20	134	65536
50.1	395.5	1651	1	0	1173	1	47	57	367	65536
51.1	395.3	1664	1	0	1366	1	39	36	215	65536
52.1	386.2	1344	1	0	1162	1	22	20	134	65536
53.1	441.9	2128	2	0	1667	1	46	151	255	65536
54.1	401.9	1971	64	0	1676	1	31	28	166	65536
55.1	389.0	1557	1	0	1199	1	98	34	218	65536
56.1	368.8	2108	0	0	1904	0	19	20	161	65536
57.1	421.7	2660	0	0	1878	1	64	31	681	65536
58.1	364.3	2987	1	0	2053	1	45	38	842	65536
59.1	433.4	2867	0	0	2477	1	35	134	215	65536
60.1	387.9	2914	1	0	2351	1	61	51	443	65536
