==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:59:40 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	355.5	761	1	0	536	0	18	17	186	65536
2.0	374.3	791	1	0	527	1	49	48	160	65536
3.0	463.2	1380	1	0	1038	1	44	38	252	65536
4.0	467.8	1641	1	0	1299	1	44	81	211	65536
5.0	402.1	1175	1	0	711	1	44	40	374	65536
6.0	311.8	520	1	0	189	1	42	35	247	65536
7.0	443.3	1790	1	0	1420	1	45	37	280	65536
8.0	429.8	1296	1	0	963	1	44	36	244	65536
9.0	388.4	601	1	0	255	1	44	47	246	65536
10.0	359.6	1071	1	0	745	1	44	36	239	65536
11.0	419.9	1216	1	0	927	0	19	22	243	65536
12.0	374.4	1216	1	0	895	1	41	31	241	65536
13.0	423.4	1332	1	0	963	1	51	53	256	65536
