==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:08:23 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	512.6	636	479	0	2	0	24	21	136	3114
2.0	463.5	636	479	0	2	0	24	21	136	3114
3.0	454.0	636	479	0	2	0	24	21	136	3114
4.0	343.1	636	479	0	2	0	24	21	136	3114
5.0	505.5	636	479	0	2	0	24	21	136	3114
6.0	426.1	636	479	0	2	0	24	21	136	3114
7.0	496.4	636	479	0	2	0	24	21	136	3114
8.0	344.6	636	479	0	2	0	24	21	136	3114
9.0	475.0	636	479	0	2	0	24	21	136	3114
10.0	362.1	636	479	0	2	0	24	21	136	3114
11.0	334.9	636	479	0	2	0	24	21	136	3114
12.0	411.4	636	479	0	2	0	24	21	136	3114
