==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:23:08 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	433.6	1307	1	0	965	1	37	35	263	65536
2.0	472.9	1343	1	0	952	1	52	61	270	65536
3.0	449.7	1536	1	0	1203	1	44	36	244	65536
4.0	410.2	1186	1	0	876	1	45	38	219	65536
5.0	456.2	1860	1	0	1515	1	129	57	150	65536
6.0	301.9	441	1	0	196	1	26	51	161	65536
7.0	398.1	1908	1	0	1587	1	43	32	238	65536
8.0	371.2	1664	1	0	1247	0	22	23	366	65536
9.0	425.9	2169	1	0	1917	1	29	24	192	65536
10.0	365.6	1130	1	0	928	0	24	20	151	65536
11.0	437.8	1786	1	0	1390	1	46	46	296	65536
12.0	400.9	1604	1	0	1278	1	29	27	264	65536
13.0	357.4	2168	1	0	1856	1	51	39	214	65536
14.0	432.4	2420	1	0	2067	1	54	48	243	65536
15.0	378.0	1527	1	0	1130	1	55	80	253	65536
