==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:51:12 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	420.2	1392	1	0	923	1	42	114	304	65536
2.0	409.2	702	1	0	355	1	53	63	223	65536
3.0	468.9	1275	1	0	929	1	45	39	253	65536
4.0	417.7	954	1	0	641	1	46	39	220	65536
5.0	389.0	234	1	0	62	1	21	24	121	65536
6.0	373.1	481	1	0	5	3	70	72	324	65536
7.0	422.7	1176	1	0	681	1	45	38	403	65536
8.0	400.1	692	1	0	497	1	25	21	144	65536
9.0	361.0	949	2	0	660	1	46	34	200	65536
10.0	344.7	628	1	0	431	1	26	22	143	65536
11.0	360.5	554	2	0	173	1	46	53	272	65536
12.0	432.0	1304	1	0	921	1	36	38	302	65536
13.0	368.8	1080	1	0	839	1	30	31	173	65536
