==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:08:50 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	495.9	577	354	0	1	0	26	27	148	3114
2.0	497.2	577	354	0	1	0	26	27	148	3114
3.0	408.6	577	354	0	1	0	26	27	148	3114
4.0	352.0	577	354	0	1	0	26	27	148	3114
5.0	476.0	577	354	0	1	0	26	27	148	3114
6.0	323.3	577	354	0	1	0	26	27	148	3114
7.0	579.5	577	354	0	1	0	26	27	148	3114
8.0	319.7	577	354	0	1	0	26	27	148	3114
9.0	628.4	577	354	0	1	0	26	27	148	3114
10.0	364.6	577	354	0	1	0	26	27	148	3114
11.0	491.5	577	354	0	1	0	26	27	148	3114
12.0	490.2	577	354	0	1	0	26	27	148	3114
