==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-17 20:00:12 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	518.2	1870	0	0	1700	0	18	18	131	65536
2.0	435.6	1736	0	0	1383	1	51	48	247	65536
3.0	409.7	1844	0	0	1477	1	67	39	256	65536
4.0	446.1	2430	0	0	2053	1	77	38	256	65536
5.0	466.1	2442	1	0	2062	1	78	38	256	65536
6.0	427.4	1901	0	0	1594	0	60	46	196	65536
7.0	450.3	2427	0	0	2138	0	42	22	221	65536
8.0	438.5	1809	0	0	1455	0	25	46	279	65536
9.0	340.7	1649	0	0	1383	0	40	79	143	65536
10.0	382.5	2013	0	0	1699	0	22	44	243	65536
11.0	344.6	1800	0	0	1378	1	80	42	293	65536
12.0	391.9	2269	0	0	1623	1	90	47	502	65536
13.0	421.6	2863	1	0	2320	1	53	143	338	65536
14.0	347.6	2058	0	0	1688	5	28	43	285	65536
15.0	374.5	1848	0	0	1482	1	79	41	240	65536
16.0	410.9	2205	0	0	1799	1	47	59	293	65536
17.0	342.0	1933	0	0	1610	1	56	61	199	65536
18.0	403.5	1627	0	0	1446	0	23	20	134	65536
19.0	449.7	2481	0	0	2066	1	53	48	306	65536
20.0	397.8	3904	0	0	3468	1	101	49	279	65536
21.0	373.9	3800	1	0	3302	1	64	176	249	65536
22.0	413.9	2444	0	0	2111	1	47	40	239	65536
23.0	423.9	1681	0	0	1359	0	25	37	255	65536
24.0	377.2	2042	0	0	1607	0	76	41	314	65536
25.0	375.4	1543	0	0	1026	1	51	44	414	65536
26.0	234.3	2155	0	0	1626	0	58	55	410	65536
27.0	358.1	1023	0	0	804	0	31	48	137	65536
28.0	397.8	2277	1	0	1669	1	128	122	348	65536
29.0	414.6	2325	0	0	1871	0	45	39	366	65536
30.0	405.4	1508	1	0	1084	1	115	52	249	65536
31.0	346.9	3082	1	0	1652	2	103	80	1238	65536
32.0	372.8	2612	1	0	1780	1	45	46	731	65536
33.0	354.2	1634	2	0	1010	2	93	80	439	65536
34.1	480.5	2744	2	0	2055	2	101	98	477	65536
35.1	461.0	3928	1	0	3180	3	55	75	608	65536
36.1	155.1	6131	3	0	22	6	239	421	5425	65536
37.1	105.9	5011	3	0	262	6	197	206	4322	65536
38.1	171.0	5590	1	0	5177	1	58	50	297	65536
39.1	203.6	2137	0	0	1531	1	46	68	486	65536
40.1	232.2	3762	1	0	3206	1	85	63	400	65536
41.1	353.0	1711	0	0	1357	1	44	40	263	65536
42.1	319.6	3014	0	0	2344	1	42	41	579	65536
43.1	406.4	2966	2	0	2415	1	49	53	440	65536
44.1	246.5	2229	2	0	10	3	181	100	1924	65536
45.1	385.8	2312	1	0	1839	2	55	52	357	65536
46.1	134.0	6047	3	0	59	6	191	189	5584	65536
47.1	121.5	6137	4	0	238	7	229	920	4721	65536
48.1	364.7	2080	2	0	789	2	60	56	1165	65536
49.1	381.9	2420	0	0	2043	1	45	43	282	65536
50.1	194.3	4518	3	0	17	5	172	234	4072	65536
51.1	145.4	5306	3	0	87	7	204	226	4763	65536
52.1	136.2	5036	5	0	23	8	217	532	4235	65536
53.1	296.0	1598	1	0	8	3	102	75	1400	65536
54.1	425.9	2317	2	0	1613	2	120	67	504	65536
55.1	369.6	2849	4	0	1611	5	292	121	802	65536
56.1	151.0	4163	2	0	28	5	171	481	3463	65536
57.1	101.4	6137	3	0	21	6	206	1051	4834	65536
58.1	172.3	4293	5	0	2985	8	143	100	1033	65536
59.1	390.1	3095	1	0	2156	2	49	44	835	65536
60.1	393.4	2102	1	0	1507	1	67	55	465	65536
61.1	418.5	3185	3	0	2204	3	317	96	552	65536
62.1	133.2	4213	3	0	3526	1	136	64	475	65536
63.1	126.0	5986	2	0	12	5	302	1026	4626	65536
64.1	457.5	2215	0	0	1732	1	38	33	406	65536
