==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-17 18:51:39 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	337.0	2304	0	0	1994	1	37	48	220	65536
2.0	403.8	2376	0	0	2098	1	49	54	170	65536
3.0	438.1	2443	0	0	2137	1	41	33	227	65536
4.0	384.2	2520	0	0	2234	1	41	33	205	65536
5.0	379.7	2378	0	0	2092	1	38	33	209	65536
6.0	342.9	2654	0	0	1951	1	40	37	619	65536
7.0	422.3	2759	0	0	2434	1	39	35	244	65536
8.0	357.1	1947	0	0	1803	0	16	13	110	65536
9.0	397.2	2157	0	0	1861	0	22	30	240	65536
10.0	382.9	2454	1	0	2130	1	31	36	250	65536
11.0	375.8	1911	0	0	1726	0	23	21	136	65536
12.0	426.7	2385	1	0	1993	1	48	44	292	65536
13.0	388.1	1167	1	0	674	1	52	49	385	65536
14.0	441.3	2173	1	0	1865	1	37	32	232	65536
15.0	333.2	947	1	0	725	1	25	24	165	65536
16.0	343.3	1921	1	0	1408	1	41	33	431	65536
17.0	402.5	1425	1	0	1172	1	40	33	173	65536
18.0	401.9	1810	1	0	1376	1	63	56	306	65536
19.0	328.7	1510	2	0	843	1	79	67	511	65536
20.0	482.0	1203	1	0	776	1	72	60	287	65536
21.0	369.2	1732	2	0	1370	1	65	56	234	65536
22.0	391.3	1744	1	0	1484	1	34	33	186	65536
23.0	406.7	1813	1	0	1578	1	34	35	160	65536
24.0	380.1	1851	1	0	1483	1	65	61	233	65536
25.0	371.1	1535	1	0	1175	1	65	60	227	65536
26.0	429.1	1496	1	0	1193	0	29	30	238	65536
27.0	401.5	1958	1	0	1594	1	60	58	238	65536
28.0	448.5	2141	1	0	1828	1	45	41	216	65536
29.0	392.4	1701	0	0	1528	0	26	23	119	65536
30.0	352.9	1215	1	0	942	0	22	21	223	65536
31.0	332.9	1733	1	0	1269	1	37	34	385	65536
32.0	416.6	1890	1	0	1407	1	37	36	402	65536
33.0	440.0	2195	1	0	1840	1	81	34	231	65536
34.0	359.5	1809	1	0	1384	1	38	32	306	65536
35.0	357.5	1104	1	0	450	1	104	57	484	65536
36.1	473.2	2090	1	0	1628	1	206	32	217	65536
37.1	400.6	1694	1	0	1394	1	102	27	165	65536
38.1	365.2	1686	2	0	1178	0	127	63	310	65536
39.1	423.2	2085	1	0	1683	1	121	48	226	65536
40.1	360.0	2493	0	0	2163	1	50	46	227	65536
41.1	372.4	2309	0	0	1916	0	27	59	302	65536
42.1	377.7	2375	0	0	2143	1	32	33	162	65536
43.1	369.6	2298	1	0	1979	1	51	55	208	65536
44.1	400.6	2346	1	0	1981	1	58	62	237	65536
45.1	409.8	2848	0	0	2251	1	28	78	487	65536
46.1	360.3	2450	0	0	2095	1	53	55	240	65536
47.1	379.1	2121	1	0	1844	1	39	29	202	65536
48.1	371.0	2410	0	0	2045	0	26	20	316	65536
49.1	345.0	2317	1	0	1840	1	47	40	381	65536
50.1	324.4	2325	1	0	1943	1	41	32	302	65536
51.1	427.8	2445	0	0	2246	0	23	22	149	65536
52.1	407.9	2620	1	0	2318	1	41	33	222	65536
53.1	370.2	2231	0	0	1927	1	41	35	222	65536
54.1	375.4	2538	0	0	2001	1	45	32	454	65536
55.1	405.7	2247	0	0	1857	1	42	31	312	65536
56.1	364.1	2850	1	0	2545	1	54	37	205	65536
57.1	352.0	2143	0	0	1924	0	21	16	178	65536
58.1	352.3	2296	0	0	1964	1	35	37	254	65536
59.1	416.8	2781	0	0	2399	1	41	114	221	65536
60.1	366.2	2453	0	0	2124	1	39	32	210	65536
61.1	344.5	2277	0	0	1942	1	35	45	250	65536
62.1	355.2	2778	1	0	2345	0	23	40	364	65536
63.1	388.9	2525	1	0	2170	1	39	127	182	65536
64.1	432.8	2928	0	0	2658	1	34	34	195	65536
65.1	366.0	2174	0	0	1909	1	34	31	194	65536
66.1	338.9	2314	0	0	1991	1	39	29	249	65536
67.1	435.4	2313	0	0	2157	0	18	17	116	65536
68.1	383.0	2344	0	0	2183	0	19	15	123	65536
69.1	356.2	2244	1	0	1976	1	35	31	196	65536
70.1	466.6	2476	0	0	2146	1	35	29	260	65536
71.1	362.6	2375	1	0	2009	1	35	34	291	65536
72.1	400.5	2533	0	0	2180	1	35	111	201	65536
73.1	437.1	2789	0	0	2510	1	39	34	200	65536
74.1	296.0	2108	0	0	1766	1	110	36	190	65536
75.1	344.9	2425	0	0	1966	1	48	61	344	65536
76.1	405.1	2254	0	0	1956	1	45	43	203	65536
77.1	406.3	2183	0	0	1844	1	49	51	232	65536
78.1	394.8	2440	0	0	2152	1	29	30	224	65536
79.1	451.3	2798	1	0	2441	1	58	67	224	65536
80.1	328.4	2193	1	0	1851	1	60	50	226	65536
81.1	436.1	2483	0	0	2134	1	58	48	235	65536
82.1	379.5	2428	0	0	2063	0	31	33	295	65536
83.1	404.7	2432	1	0	2104	1	63	63	194	65536
84.1	424.7	2617	0	0	2269	1	45	38	257	65536
85.1	389.3	2582	1	0	2138	1	38	34	365	65536
86.1	398.2	2551	1	0	2114	1	41	176	213	65536
87.1	389.9	2474	1	0	2181	1	44	34	207	65536
88.1	371.1	2062	0	0	1894	0	19	19	125	65536
89.1	400.3	3062	0	0	2611	1	53	81	311	65536
90.1	347.7	2819	1	0	2378	1	75	70	288	65536
91.1	382.0	2395	0	0	2173	1	22	53	143	65536
92.1	394.6	2013	0	0	1847	0	21	20	120	65536
93.1	386.1	2487	1	0	2144	1	45	36	254	65536
94.1	430.7	2816	0	0	2495	1	44	44	226	65536
95.1	428.7	2811	1	0	2461	1	81	33	228	65536
96.1	438.0	2130	1	0	1813	1	46	43	221	65536
97.1	411.8	2646	1	0	2273	1	48	84	235	65536
98.1	400.4	2801	0	0	2409	1	54	45	223	65536
99.1	443.1	2618	0	0	2379	1	82	27	125	65536
100.1	406.8	2610	0	0	2180	1	55	43	326	65536
101.1	338.9	2654	0	0	2266	1	63	72	246	65536
102.1	357.2	2144	0	0	1880	1	53	42	162	65536
103.1	316.2	2365	0	0	1881	1	63	79	334	65536
104.1	306.3	2319	0	0	1679	1	64	85	486	65536
105.2	411.2	2428	1	0	1883	1	36	31	471	65536
106.2	381.5	2234	0	0	2048	0	50	18	114	65536
107.2	353.5	2106	0	0	1833	1	39	55	172	65536
108.2	406.1	2516	1	0	2064	1	117	56	272	65536
109.2	398.8	2812	1	0	2420	1	55	44	221	65536
110.2	382.1	2191	1	0	1853	1	117	44	169	65536
111.2	412.1	2298	1	0	1954	1	52	57	228	65536
112.2	396.1	2700	2	0	2212	0	51	63	367	65536
113.2	413.2	2736	0	0	2498	1	32	70	132	65536
114.2	413.8	2767	0	0	2405	1	68	55	231	65536
115.2	327.1	2128	0	0	1713	1	54	49	305	65536
116.2	354.3	2423	0	0	2111	1	49	51	205	65536
117.2	325.2	2491	1	0	2200	75	40	29	139	65536
118.2	349.1	2751	0	0	2447	1	39	35	224	65536
119.2	415.8	2337	0	0	1958	1	44	32	297	65536
120.2	390.0	2807	0	0	2445	1	53	67	235	65536
121.2	342.8	2080	0	0	1772	1	45	44	214	65536
122.2	357.5	2291	0	0	1997	1	45	40	202	65536
123.2	368.4	2506	1	0	2195	1	45	57	203	65536
124.2	365.9	2320	0	0	1992	1	47	55	220	65536
125.2	406.2	2752	1	0	2425	1	48	61	212	65536
126.2	390.3	2474	0	0	2174	1	47	79	169	65536
127.2	365.0	2476	1	0	2153	1	50	56	211	65536
128.2	365.8	2208	0	0	1892	1	48	54	208	65536
129.2	298.7	2310	2	0	1952	1	59	56	233	65536
130.2	422.9	2029	0	0	1828	0	29	27	140	65536
131.2	417.2	2688	3	0	1985	5	128	112	442	65536
132.2	413.6	2818	2	0	2282	1	70	97	360	65536
133.2	350.0	2984	5	0	2332	10	191	98	333	65536
134.2	396.7	2085	0	0	1859	0	26	62	134	65536
135.2	428.6	2762	1	0	2369	1	100	46	239	65536
136.2	422.4	2642	0	0	2438	0	27	39	134	65536
137.2	360.5	2084	0	0	1820	1	56	21	182	65536
138.2	377.1	2204	0	0	1950	1	27	24	197	65536
139.2	328.7	2239	1	0	1789	40	48	180	175	65536
140.2	339.5	1884	0	0	1626	0	23	17	214	65536
141.2	389.9	2350	0	0	2134	0	24	34	153	65536
142.2	360.5	2083	0	0	1873	1	24	20	162	65536
143.2	322.4	1947	0	0	1579	0	23	18	322	65536
144.2	375.7	1873	0	0	1490	0	25	59	294	65536
145.2	359.7	1684	0	0	1449	1	54	20	157	65536
146.2	371.8	1964	0	0	1595	1	45	34	241	65536
147.2	369.0	2130	0	0	1801	0	23	17	284	65536
148.2	434.1	1973	0	0	1754	0	24	22	167	65536
149.2	390.0	2345	0	0	1978	1	44	39	277	65536
150.2	364.7	1853	0	0	1610	1	24	46	168	65536
151.2	408.6	1775	0	0	1469	1	23	20	259	65536
152.2	368.1	2408	0	0	1961	2	66	47	327	65536
153.2	375.3	1894	0	0	1556	1	25	33	274	65536
154.2	367.4	1931	0	0	1635	1	27	21	243	65536
155.2	388.7	1991	0	0	1755	0	56	19	156	65536
156.2	392.8	2096	0	0	1855	0	53	18	164	65536
157.2	387.2	2142	1	0	1754	1	55	40	286	65536
158.2	363.2	2037	0	0	1807	1	26	30	170	65536
159.2	337.7	2014	0	0	1690	1	26	25	269	65536
160.2	434.8	2589	0	0	2259	1	48	52	224	65536
