==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 20:58:59 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	98.6	211	6	0	2	1	27	22	136	65536
2.0	95.6	230	4	0	2	0	22	26	169	65536
3.0	96.0	182	4	0	2	0	22	23	125	65536
4.0	98.9	206	5	0	3	1	23	40	127	65536
5.0	105.2	229	4	0	1	0	21	23	173	65536
6.0	95.7	221	6	0	1	0	30	34	143	65536
7.0	97.4	184	4	0	2	0	20	24	128	65536
8.1	93.0	202	4	0	10	0	22	26	132	65536
9.1	100.9	191	4	0	10	0	21	20	129	65536
10.1	99.7	429	5	0	6	3	66	48	290	65536
11.1	96.4	507	5	0	5	3	63	54	368	65536
12.1	92.5	197	4	0	3	0	27	27	129	65536
13.1	90.6	200	4	0	2	0	20	26	142	65536
14.1	93.5	178	4	0	2	0	21	26	119	65536
15.1	97.6	187	4	0	2	0	20	27	129	65536
16.1	77.2	209	4	0	2	0	20	27	150	65536
