==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:02:12 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	428.4	1122	1	0	794	2	42	40	238	65536
2.0	408.1	1196	1	0	842	2	55	52	237	65536
3.0	359.1	384	1	0	60	1	47	38	231	65536
4.0	520.3	1612	1	0	1272	1	47	42	243	65536
5.0	427.7	1584	1	0	1407	1	23	27	122	65536
6.0	400.6	1591	1	0	1428	0	21	16	121	65536
7.0	383.1	969	1	0	757	0	21	18	168	65536
8.0	423.5	1807	1	0	1436	1	45	36	281	65536
9.0	443.1	1620	1	0	1430	0	21	19	144	65536
10.0	367.6	1242	1	0	850	2	48	59	276	65536
11.0	401.4	463	1	0	243	1	26	22	165	65536
12.0	452.9	2131	1	0	1696	1	46	112	270	65536
13.0	403.7	1275	1	0	1072	1	23	20	153	65536
14.0	364.5	1475	1	0	1094	1	53	76	245	65536
15.0	357.9	455	1	0	4	1	62	54	329	65536
16.0	394.3	1137	1	0	694	1	201	29	205	65536
17.0	457.6	990	1	0	765	1	32	30	156	65536
