==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 19:50:46 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	365.3	1992	1	0	1497	1	42	39	407	65536
2.0	406.3	1771	0	0	1513	1	34	40	178	65536
3.0	445.3	1866	1	0	1608	1	31	46	174	65536
4.0	407.0	1766	0	0	1584	0	23	21	133	65536
5.0	374.8	1910	0	0	1615	0	19	45	226	65536
6.0	356.0	1477	0	0	1258	0	21	27	166	65536
7.0	318.9	1442	0	0	1194	0	22	22	200	65536
8.0	408.9	1733	1	0	1250	1	40	241	194	65536
9.0	352.2	1558	1	0	1114	1	41	63	333	65536
10.0	322.2	752	1	0	508	1	44	41	151	65536
11.0	442.9	1761	0	0	1373	1	45	60	276	65536
12.0	344.5	1849	0	0	1313	1	56	121	353	65536
13.0	365.3	1520	0	0	1285	0	28	33	169	65536
14.0	437.3	2025	1	0	1527	1	57	77	356	65536
15.0	374.7	2243	0	0	1761	1	57	126	292	65536
16.0	355.7	1884	0	0	1482	1	59	73	263	65536
17.0	400.4	1609	0	0	1185	1	58	76	282	65536
18.0	378.2	1578	0	0	1309	0	31	31	201	65536
19.0	383.9	1704	0	0	1470	0	28	48	153	65536
20.0	461.5	1347	0	0	1134	0	26	34	148	65536
21.0	393.5	1870	0	0	1505	1	59	55	244	65536
22.0	445.0	1011	0	0	851	0	19	21	116	65536
23.0	425.9	2322	0	0	1973	1	41	44	255	65536
24.0	396.3	1817	0	0	1490	1	40	40	240	65536
25.0	375.9	1416	0	0	1220	1	24	26	141	65536
26.0	399.6	1785	0	0	1368	1	39	140	231	65536
27.0	469.8	2067	0	0	1752	0	35	41	235	65536
28.0	382.1	1428	0	0	1082	1	54	58	227	65536
29.0	384.9	1799	0	0	1485	1	39	45	223	65536
30.0	342.8	1140	0	0	951	1	23	23	139	65536
31.0	438.5	1830	0	0	1615	0	23	36	150	65536
32.0	335.3	1327	0	0	1037	0	23	53	209	65536
33.0	446.7	1459	0	0	1172	1	31	58	191	65536
34.0	403.4	1585	0	0	1210	1	51	55	262	65536
35.0	337.3	1421	0	0	1030	0	34	56	296	65536
36.1	423.3	1442	0	0	1110	1	46	40	239	65536
37.1	434.3	910	0	0	706	0	26	25	148	65536
38.1	415.0	943	0	0	503	1	48	41	343	65536
39.1	378.1	904	1	0	594	1	44	41	218	65536
40.1	556.2	255	1	0	2272	1	48	40	179	65536
41.1	561.7	255	1	0	2272	1	48	40	179	65536
42.1	551.0	255	1	0	2272	1	48	40	179	65536
43.1	667.1	255	1	0	2272	1	48	40	179	65536
44.1	691.5	255	1	0	2272	1	48	40	179	65536
45.1	1189.9	255	1	0	2272	1	48	40	179	65536
46.1	581.5	255	1	0	2272	1	48	40	179	65536
47.1	1093.4	255	1	0	2272	1	48	40	179	65536
48.1	682.6	255	1	0	2272	1	48	40	179	65536
49.1	879.4	255	1	0	2272	1	48	40	179	65536
50.1	469.5	255	1	0	2272	1	48	40	179	65536
51.1	414.7	255	1	0	2272	1	48	40	179	65536
52.1	884.3	255	1	0	2272	1	48	40	179	65536
53.1	759.8	255	1	0	2272	1	48	40	179	65536
54.1	682.7	255	1	0	2272	1	48	40	179	65536
55.1	713.5	255	1	0	2272	1	48	40	179	65536
56.1	785.9	255	1	0	2272	1	48	40	179	65536
57.1	668.0	255	1	0	2272	1	48	40	179	65536
58.1	615.6	255	1	0	2272	1	48	40	179	65536
