==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:45:48 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	426.8	2009	1	0	1749	1	38	37	177	65536
2.0	398.2	650	1	0	487	0	24	23	111	65536
3.0	373.8	1040	1	0	735	1	44	34	218	65536
4.0	378.2	1012	1	0	711	0	19	17	260	65536
5.0	450.3	1932	1	0	1447	0	22	19	440	65536
6.0	411.5	1795	1	0	1260	1	45	34	448	65536
7.0	359.1	1600	1	0	1315	1	113	20	144	65536
8.0	378.6	1432	1	0	1090	2	45	36	251	65536
9.0	422.9	666	1	0	470	0	24	20	148	65536
10.0	449.3	1659	1	0	1475	1	24	20	135	65536
11.0	368.0	1186	1	0	845	1	44	32	256	65536
