==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:03:06 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	476.5	360	1	0	2	0	30	27	294	65536
2.0	446.3	360	1	0	2	0	30	27	294	65536
3.0	404.4	360	1	0	2	0	30	27	294	65536
4.0	504.7	360	1	0	2	0	30	27	294	65536
5.0	393.2	360	1	0	2	0	30	27	294	65536
6.0	416.6	360	1	0	2	0	30	27	294	65536
7.0	502.0	360	1	0	2	0	30	27	294	65536
8.0	543.1	360	1	0	2	0	30	27	294	65536
9.0	485.3	360	1	0	2	0	30	27	294	65536
10.0	450.4	360	1	0	2	0	30	27	294	65536
11.0	373.0	360	1	0	2	0	30	27	294	65536
12.0	479.1	360	1	0	2	0	30	27	294	65536
13.0	470.5	360	1	0	2	0	30	27	294	65536
