==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 19:33:44 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	436.6	1946	0	0	1710	1	27	43	160	65536
2.0	405.3	1745	0	0	1308	1	55	63	310	65536
3.0	345.9	1755	0	0	1516	1	27	25	182	65536
4.0	436.5	2168	0	0	1821	1	47	41	252	65536
5.0	459.5	2309	0	0	2114	0	22	36	133	65536
6.0	378.4	1950	0	0	1604	0	20	22	299	65536
7.0	287.5	1421	0	0	1203	0	19	25	168	65536
8.0	426.7	1500	0	0	1316	0	19	20	141	65536
9.0	407.9	1917	0	0	1726	0	19	25	142	65536
10.0	312.2	216	0	0	2	0	19	21	171	65536
11.0	415.9	2128	0	0	1793	0	37	39	254	65536
12.0	369.6	1488	0	0	1073	0	33	29	348	65536
