==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-17 18:44:00 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	378.1	2466	1	0	2128	2	47	40	238	65536
2.0	405.5	2747	1	0	2326	2	59	122	232	65536
3.0	382.1	2277	0	0	1912	1	41	31	288	65536
4.0	423.3	2736	0	0	2522	1	41	34	132	65536
5.0	397.3	2350	0	0	2199	0	18	17	112	65536
6.0	320.8	2044	0	0	1790	1	40	37	170	65536
7.0	351.3	2297	1	0	1893	1	41	67	287	65536
8.0	292.8	2618	4	0	1717	3	117	18	715	65536
