==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-17 19:09:10 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	409.7	2700	0	0	2436	1	37	37	184	65536
2.0	332.8	2056	0	0	1750	1	47	44	209	65536
3.0	322.6	2272	0	0	1898	1	42	35	290	65536
4.0	401.5	2502	0	0	2105	1	41	114	236	65536
5.0	363.2	2005	0	0	1714	1	38	37	210	65536
6.0	332.0	2079	0	0	1774	1	36	28	235	65536
7.0	385.5	2467	0	0	2146	1	37	35	243	65536
8.0	352.6	2263	0	0	1957	1	35	28	237	65536
9.0	360.2	2208	0	0	1895	1	36	27	243	65536
10.0	369.1	2029	0	0	1708	1	40	71	204	65536
11.0	386.4	2290	0	0	2099	0	21	17	148	65536
12.0	389.5	2178	0	0	1818	1	48	69	236	65536
13.0	331.4	2476	1	0	2096	1	51	44	278	65536
14.0	371.7	2489	1	0	2075	1	53	85	267	65536
15.0	351.4	1861	0	0	1646	0	26	27	158	65536
16.0	360.1	2525	1	0	1835	1	56	66	560	65536
17.0	325.9	2233	0	0	1870	1	48	56	252	65536
18.0	373.4	2022	0	0	1787	0	25	22	183	65536
19.0	387.2	2819	0	0	2303	1	53	94	363	65536
20.0	404.6	2370	0	0	2025	1	48	50	240	65536
21.0	348.0	2093	0	0	1881	0	30	42	135	65536
22.0	428.7	2734	1	0	2412	1	53	48	215	65536
23.0	392.6	2343	0	0	2023	1	53	46	215	65536
24.0	380.7	2577	1	0	2244	1	59	47	219	65536
25.0	372.4	2141	1	0	1822	1	58	49	207	65536
26.0	377.8	2563	1	0	2084	1	51	59	362	65536
27.0	400.8	2888	0	0	2456	1	34	34	358	65536
28.0	385.4	2675	1	0	2107	1	178	31	351	65536
29.0	301.4	2155	0	0	1689	1	57	47	356	65536
30.0	373.7	2100	0	0	1833	1	39	45	179	65536
31.0	419.7	2542	1	0	2128	1	63	72	271	65536
32.1	356.9	2288	0	0	1735	1	44	55	448	65536
33.1	356.6	2521	0	0	2330	0	22	32	133	65536
34.1	311.1	2327	0	0	1896	1	57	64	303	65536
35.1	378.7	2743	2	0	2230	5	117	102	275	65536
36.1	301.1	2200	0	0	1844	1	50	67	233	65536
37.1	335.2	2544	3	0	1907	2	60	74	487	65536
38.1	368.5	2261	1	0	1856	1	52	71	275	65536
39.1	366.4	2181	0	0	1859	1	48	52	217	65536
40.1	357.7	2206	0	0	1881	1	49	53	217	65536
41.1	327.6	2158	0	0	1935	0	32	30	154	65536
42.1	394.7	2419	1	0	2061	1	58	51	242	65536
