==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-17 20:01:19 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	347.1	2299	0	0	1919	1	36	31	307	65536
2.0	447.2	2097	1	0	1756	1	38	35	259	65536
3.0	241.9	899	1	0	5	2	56	101	729	65536
4.0	123.6	2345	3	0	21	6	181	192	1927	65536
5.0	136.1	2120	1	0	10	3	96	193	1809	65536
6.0	210.3	2941	1	0	2101	1	37	30	765	65536
7.0	326.9	2225	0	0	1927	0	32	38	223	65536
8.0	392.8	1667	0	0	1393	0	25	27	216	65536
9.0	345.5	1842	0	0	1467	1	44	39	286	65536
10.0	154.2	3498	3	0	22	6	270	244	2938	65536
11.0	84.5	4597	2	0	22	6	239	470	3844	65536
12.0	374.6	2092	0	0	1745	0	34	38	272	65536
13.0	348.0	1786	0	0	1470	1	32	84	195	65536
14.0	447.3	2249	0	0	1817	1	74	100	252	65536
15.0	422.1	2394	0	0	1693	1	61	71	562	65536
16.0	357.0	1993	0	0	1562	1	56	92	276	65536
17.0	317.6	3749	0	0	3297	1	59	71	313	65536
18.0	410.2	2235	0	0	1739	1	65	119	306	65536
19.0	359.7	1742	0	0	1452	1	40	49	196	65536
20.0	378.9	1375	1	0	914	1	64	74	316	65536
21.1	290.0	3777	2	0	3406	1	54	52	257	65536
22.1	421.9	2240	1	0	1849	1	47	46	290	65536
23.1	262.5	7777	2	0	6995	1	50	47	674	65536
24.1	375.5	3761	5	0	3101	4	82	67	494	65536
25.1	353.3	2289	1	0	1883	1	49	48	301	65536
26.1	265.7	4755	3	0	4052	2	96	71	524	65536
27.1	361.0	1726	1	0	1280	1	51	50	334	65536
28.1	374.1	1742	2	0	1184	2	51	48	445	65536
29.1	206.8	2003	1	0	15	4	127	146	1700	65536
30.1	466.0	2388	0	0	2047	1	40	38	257	65536
31.1	411.4	2531	0	0	2261	1	26	40	198	65536
32.1	408.2	2043	1	0	1688	1	43	40	265	65536
33.1	288.7	3561	2	0	2600	2	106	117	725	65536
34.1	415.0	2511	1	0	2038	1	69	71	324	65536
35.1	159.1	4362	3	0	22	6	367	292	3650	65536
36.1	206.6	3519	2	0	2991	2	67	62	388	65536
37.1	431.9	2420	1	0	1746	1	60	48	557	65536
38.1	175.9	2852	3	0	19	5	194	218	2397	65536
39.1	345.6	1847	2	0	11	3	111	106	1604	65536
40.1	401.0	2644	1	0	2052	1	65	66	451	65536
41.1	334.9	1346	2	0	16	4	148	160	1006	65536
42.1	186.1	3938	3	0	22	5	294	191	3408	65536
43.1	208.3	4038	2	0	21	6	169	258	3570	65536
44.1	202.5	3302	2	0	22	5	184	211	2864	65536
45.1	175.8	3920	3	0	22	6	200	193	3482	65536
46.1	457.0	2122	1	0	1734	1	43	44	293	65536
47.1	286.8	2089	1	0	1633	1	60	71	318	65536
48.1	223.8	915	1	0	8	2	123	104	671	65536
49.1	415.2	2081	0	0	1749	1	38	54	235	65536
50.1	284.9	2908	1	0	2313	2	76	87	421	65536
51.1	247.1	2298	3	0	24	6	206	261	1782	65536
52.1	418.5	2287	0	0	2080	0	22	40	140	65536
53.1	389.5	2259	1	0	1524	1	81	87	558	65536
54.1	342.0	1473	1	0	1060	1	73	71	262	65536
55.1	340.1	1547	0	0	1018	0	29	56	440	65536
56.1	430.0	2317	0	0	2016	1	37	50	208	65536
57.1	398.9	2422	0	0	1991	1	42	68	315	65536
58.1	403.3	1945	0	0	1743	0	21	39	138	65536
59.1	354.1	1933	0	0	1590	1	40	49	248	65536
60.1	335.4	1956	0	0	1619	1	53	62	216	65536
61.1	370.8	2161	0	0	1726	0	133	61	237	65536
62.1	385.8	1776	0	0	1457	1	38	58	217	65536
63.1	327.7	1847	0	0	1647	0	23	22	151	65536
64.1	358.3	1725	0	0	1360	1	46	41	271	65536
65.1	351.9	2485	1	0	1951	1	40	34	452	65536
66.1	444.9	2687	1	0	2377	1	40	40	223	65536
67.1	393.0	2216	0	0	1858	1	57	54	240	65536
68.2	436.2	2649	0	0	2436	4	32	32	138	65536
69.2	304.5	2217	1	0	1809	1	67	58	276	65536
70.2	352.9	2254	1	0	1897	1	60	52	236	65536
71.2	340.1	2424	0	0	2156	1	68	34	161	65536
72.2	412.4	2819	0	0	2251	0	36	52	475	65536
73.2	312.0	2882	0	0	2343	2	140	55	337	65536
74.2	367.5	2546	0	0	2311	1	28	66	136	65536
75.2	388.4	2687	0	0	2369	1	47	59	206	65536
76.2	362.6	2381	0	0	2052	1	42	39	240	65536
77.2	402.3	2917	0	0	2594	1	44	38	233	65536
78.2	436.7	2877	0	0	2538	1	79	34	219	65536
79.2	349.6	2543	0	0	2179	1	37	34	287	65536
80.2	409.2	2511	0	0	2249	1	36	40	180	65536
81.2	395.4	2673	0	0	2356	1	37	34	240	65536
82.2	341.0	2227	0	0	1950	1	34	28	209	65536
83.2	371.6	2092	0	0	1928	0	19	17	125	65536
84.2	336.7	2400	0	0	1966	1	45	39	344	65536
85.2	329.5	2287	0	0	1933	1	36	30	282	65536
86.2	420.1	2129	0	0	1953	0	19	19	134	65536
87.2	407.0	2533	0	0	2256	1	38	32	201	65536
88.2	365.2	2457	0	0	2184	1	34	39	194	65536
89.2	339.2	2290	0	0	2065	1	23	29	169	65536
90.2	369.0	2296	0	0	1979	1	35	28	248	65536
91.2	326.2	2650	0	0	2285	1	56	42	259	65536
92.2	343.0	2186	0	0	1978	0	18	15	170	65536
93.2	351.2	2171	0	0	1859	1	41	38	225	65536
94.2	474.3	2481	0	0	2086	1	37	34	316	65536
95.2	335.4	2622	0	0	2243	1	40	126	207	65536
96.2	399.7	2420	0	0	2207	0	19	16	174	65536
97.2	351.9	2910	0	0	2626	1	39	35	204	65536
98.2	400.3	2407	1	0	2011	1	39	26	324	65536
99.2	361.0	2853	1	0	2175	3	83	72	509	65536
100.2	352.1	2406	1	0	2033	1	85	33	248	65536
101.2	436.8	2445	0	0	2126	1	43	35	233	65536
102.2	419.3	2938	1	0	2591	2	46	47	245	65536
103.2	365.3	2291	0	0	1921	1	39	35	289	65536
104.2	308.8	2282	0	0	2117	0	23	19	119	65536
105.2	409.2	2507	0	0	2227	1	40	34	200	65536
106.2	349.4	2784	1	0	2475	1	53	39	208	65536
107.2	371.7	2213	0	0	1863	1	49	56	240	65536
108.2	393.6	2558	0	0	2227	1	52	65	209	65536
109.2	422.1	2520	0	0	2241	1	40	33	200	65536
110.2	404.7	2586	0	0	2192	1	39	116	233	65536
111.2	381.2	2666	0	0	2274	1	46	31	309	65536
112.2	303.0	2520	0	0	2193	1	47	34	237	65536
113.2	346.3	2545	0	0	2128	1	41	32	338	65536
114.2	405.3	2408	0	0	2157	1	37	38	172	65536
115.2	415.1	2882	0	0	2704	0	23	27	123	65536
116.2	369.9	2463	0	0	2188	1	38	32	199	65536
117.2	344.0	2081	0	0	1932	0	21	17	108	65536
118.2	335.1	2203	0	0	1926	1	42	29	199	65536
119.2	319.3	2523	0	0	2196	1	45	36	239	65536
120.2	369.3	2162	0	0	1953	0	21	30	154	65536
121.2	414.5	2294	0	0	1924	0	26	32	307	65536
122.2	395.9	2410	0	0	2158	1	52	49	146	65536
123.2	330.2	2322	0	0	2023	1	52	54	188	65536
124.2	352.7	2434	0	0	2103	1	52	45	228	65536
125.2	429.6	2296	0	0	1993	1	51	41	206	65536
126.2	351.3	2725	0	0	2370	1	55	71	224	65536
127.2	390.5	2469	1	0	2223	1	43	30	166	65536
128.2	363.9	2520	0	0	2245	1	83	31	155	65536
129.2	363.3	2137	0	0	1833	1	67	51	179	65536
130.2	412.4	2253	0	0	1915	1	51	52	229	65536
131.2	434.3	2956	0	0	2630	1	53	50	217	65536
132.2	339.3	2592	0	0	2249	1	53	44	241	65536
133.2	391.7	2440	0	0	2060	1	58	78	238	65536
134.2	409.6	2491	0	0	2248	0	33	32	173	65536
135.2	374.4	2700	0	0	2361	1	62	45	226	65536
136.3	356.5	2221	0	0	1913	1	50	54	200	65536
137.3	396.0	2808	1	0	2044	1	74	90	591	65536
138.3	395.2	2362	0	0	2087	1	33	84	153	65536
139.3	426.9	2318	0	0	2138	0	27	31	117	65536
140.3	325.6	2475	0	0	2107	1	55	64	243	65536
141.3	338.2	2209	0	0	1917	1	34	36	216	65536
142.3	297.6	2076	0	0	1874	0	21	19	157	65536
143.3	410.7	2728	1	0	2368	1	44	53	257	65536
144.3	428.1	2942	0	0	2651	1	37	30	218	65536
145.3	391.5	2368	0	0	2072	1	37	32	221	65536
146.3	433.2	2590	0	0	2351	0	28	80	127	65536
147.3	408.9	2782	1	0	2435	1	59	51	230	65536
148.3	422.7	2266	0	0	2048	0	22	50	142	65536
149.3	408.5	2523	0	0	2240	1	38	33	207	65536
150.3	372.0	2272	0	0	1974	1	34	34	225	65536
151.3	420.8	2363	0	0	2098	1	34	30	195	65536
152.3	277.1	1835	0	0	1538	1	39	32	220	65536
153.3	362.7	2376	1	0	2020	1	62	54	231	65536
154.3	407.7	2435	0	0	2118	1	50	50	211	65536
155.3	412.3	2513	0	0	2332	0	29	27	121	65536
156.3	345.8	2142	0	0	1911	0	74	23	130	65536
157.3	327.2	3099	1	0	1815	2	102	122	1049	65536
158.3	411.0	2873	0	0	2485	1	58	60	262	65536
159.3	365.4	3034	0	0	2566	1	59	52	350	65536
160.3	423.6	2761	0	0	2423	1	49	78	205	65536
161.3	380.4	2677	0	0	2323	1	67	57	225	65536
162.3	396.7	2423	0	0	2216	0	23	21	159	65536
163.3	371.1	2390	0	0	2022	1	44	35	283	65536
164.3	400.3	2465	0	0	2186	1	35	41	197	65536
165.3	354.1	2289	0	0	2011	1	34	32	207	65536
166.3	370.5	2503	0	0	1892	1	35	31	540	65536
167.3	426.4	2850	0	0	2494	1	39	36	233	65536
168.3	366.6	2313	0	0	1976	1	47	39	244	65536
169.3	357.5	2310	0	0	1977	1	36	30	262	65536
170.3	424.1	2337	0	0	1982	1	42	31	277	65536
171.3	435.9	2988	0	0	2708	1	39	34	202	65536
172.3	330.3	2420	0	0	1911	1	40	30	433	65536
173.3	330.8	2609	1	0	2204	1	49	39	310	65536
174.3	379.7	2615	0	0	2166	1	42	40	362	65536
175.3	406.0	2761	1	0	2305	1	66	88	294	65536
176.3	365.3	2523	0	0	2128	1	41	127	221	65536
177.3	373.6	2804	0	0	2445	1	86	32	235	65536
178.3	299.1	2175	1	0	1640	1	44	36	447	65536
179.3	449.1	2612	0	0	2274	1	53	55	224	65536
180.3	357.2	2087	0	0	1881	0	27	22	153	65536
181.3	382.7	2444	0	0	2267	1	29	29	114	65536
