==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:02:38 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	500.8	659	1	0	2	1	45	55	417	65536
2.0	481.0	659	1	0	2	1	45	55	417	65536
3.0	468.0	659	1	0	2	1	45	55	417	65536
4.0	435.0	659	1	0	2	1	45	55	417	65536
5.0	533.7	659	1	0	2	1	45	55	417	65536
6.0	522.7	659	1	0	2	1	45	55	417	65536
7.0	568.8	659	1	0	2	1	45	55	417	65536
8.0	473.1	659	1	0	2	1	45	55	417	65536
9.0	517.6	659	1	0	2	1	45	55	417	65536
10.0	504.6	659	1	0	2	1	45	55	417	65536
11.0	447.2	659	1	0	2	1	45	55	417	65536
12.0	425.5	659	1	0	2	1	45	55	417	65536
13.0	460.9	659	1	0	2	1	45	55	417	65536
