==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:39:18 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	455.3	1458	0	0	1309	0	17	19	109	65536
2.0	398.7	1083	0	0	893	0	22	37	127	65536
3.0	356.6	1250	1	0	922	1	51	54	215	65536
4.0	356.3	1147	0	0	930	0	27	35	150	65536
5.0	418.4	1351	0	0	1169	0	24	22	132	65536
6.0	438.0	2032	1	0	1706	1	44	36	240	65536
7.0	371.1	1419	0	0	1230	0	25	20	140	65536
8.0	402.1	1964	1	0	1631	1	36	108	183	65536
9.0	422.6	2206	0	0	1884	1	43	33	240	65536
10.0	409.7	1714	0	0	1532	0	24	21	132	65536
11.0	458.4	2064	1	0	1698	1	50	20	287	65536
12.0	422.5	2385	0	0	1932	1	43	34	370	65536
13.0	390.0	1875	0	0	1583	0	25	22	241	65536
14.0	434.4	2221	0	0	1769	1	50	134	261	65536
15.0	352.8	1486	0	0	1213	0	30	27	213	65536
16.0	413.1	1610	0	0	1378	0	30	26	172	65536
17.0	417.9	1830	0	0	1625	0	30	29	142	65536
18.0	391.4	1891	0	0	1535	1	54	48	248	65536
19.0	375.3	1750	0	0	1432	1	55	49	207	65536
20.0	421.7	1900	0	0	1435	1	56	50	353	65536
21.0	343.5	1241	0	0	858	1	56	64	258	65536
