==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:04:25 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	365.6	472	5	0	3	1	65	51	232	65536
2.0	473.7	472	5	0	3	1	65	51	232	65536
3.0	462.2	472	5	0	3	1	65	51	232	65536
4.0	377.5	472	5	0	3	1	65	51	232	65536
5.0	338.9	472	5	0	3	1	65	51	232	65536
6.0	514.0	472	5	0	3	1	65	51	232	65536
7.0	464.0	472	5	0	3	1	65	51	232	65536
8.0	483.1	472	5	0	3	1	65	51	232	65536
9.0	487.8	472	5	0	3	1	65	51	232	65536
10.0	354.8	472	5	0	3	1	65	51	232	65536
11.0	441.9	472	5	0	3	1	65	51	232	65536
12.0	404.8	472	5	0	3	1	65	51	232	65536
13.0	351.2	472	5	0	3	1	65	51	232	65536
