==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:01:01 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	468.9	541	2	0	5	1	47	46	308	65536
2.0	474.2	541	2	0	5	1	47	46	308	65536
3.0	476.1	541	2	0	5	1	47	46	308	65536
4.0	470.3	541	2	0	5	1	47	46	308	65536
5.0	431.9	541	2	0	5	1	47	46	308	65536
6.0	437.7	541	2	0	5	1	47	46	308	65536
7.0	391.5	541	2	0	5	1	47	46	308	65536
8.0	443.3	541	2	0	5	1	47	46	308	65536
9.0	497.1	541	2	0	5	1	47	46	308	65536
10.0	476.5	541	2	0	5	1	47	46	308	65536
11.0	371.6	541	2	0	5	1	47	46	308	65536
12.0	467.7	541	2	0	5	1	47	46	308	65536
13.0	516.9	541	2	0	5	1	47	46	308	65536
14.0	394.6	541	2	0	5	1	47	46	308	65536
