==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 08:01:10 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	433.6	2166	1	0	1897	1	40	39	182	65536
2.0	396.8	1568	1	0	1269	1	55	62	173	65536
3.0	410.9	2015	1	0	1677	1	45	41	243	65536
4.0	385.1	1723	1	0	1386	1	44	41	244	65536
5.0	386.8	1743	1	0	1360	1	57	55	264	65536
6.0	430.2	1864	1	0	1637	0	31	31	159	65536
7.0	355.9	2010	0	0	1797	0	28	30	149	65536
8.0	369.3	1601	1	0	1235	1	57	104	197	65536
9.0	328.0	1849	1	0	1464	1	56	60	262	65536
10.0	364.8	1620	1	0	1185	1	57	102	268	65536
11.0	295.2	1503	1	0	983	1	63	117	333	65536
12.0	326.7	1577	1	0	1088	1	68	109	304	65536
13.0	349.5	1841	0	0	1596	0	28	30	182	65536
14.0	337.2	1573	0	0	1327	0	28	29	184	65536
15.0	306.1	1380	0	0	1164	0	22	21	167	65536
16.0	527.9	1800	0	0	1592	0	51	21	131	65536
17.0	420.1	1613	0	0	1268	1	44	38	256	65536
18.0	398.6	790	1	0	475	1	47	41	219	65536
19.0	421.6	1749	0	0	1397	1	45	44	256	65536
20.0	345.3	1356	1	0	1039	1	45	39	226	65536
21.0	401.8	1347	1	0	999	1	45	37	259	65536
22.0	429.1	1672	0	0	1365	1	45	41	215	65536
23.0	403.8	1670	1	0	1299	1	46	56	260	65536
24.0	416.9	1556	0	0	1267	1	61	40	180	65536
25.0	356.1	1154	1	0	910	1	48	41	148	65536
26.0	330.8	1749	1	0	1338	1	57	58	289	65536
27.0	386.4	1673	1	0	1311	1	58	57	239	65536
28.0	331.6	1780	0	0	1419	1	57	60	237	65536
29.0	385.1	1612	0	0	1189	2	27	23	367	65536
30.0	327.4	449	0	0	212	1	31	59	140	65536
31.0	353.7	1531	0	0	1113	1	57	60	294	65536
32.0	332.1	1400	0	0	1100	1	44	40	208	65536
33.0	345.3	1906	0	0	1562	1	46	40	251	65536
34.0	326.7	1868	0	0	1496	1	25	23	319	65536
35.0	595.5	1892	0	0	1485	1	46	40	314	65536
36.1	273.6	744	0	0	338	1	27	48	327	65536
37.1	365.2	1702	0	0	1337	1	49	59	250	65536
38.1	347.3	2124	0	0	1771	1	48	59	239	65536
39.1	333.9	1992	0	0	1610	1	47	55	275	65536
40.1	406.5	1750	0	0	1376	1	53	65	250	65536
41.1	350.8	1701	0	0	1310	1	47	56	282	65536
42.1	417.4	1395	0	0	909	1	46	170	262	65536
43.1	396.0	1145	0	0	785	1	46	40	267	65536
44.1	332.4	1494	0	0	994	1	47	41	405	65536
45.1	358.7	666	0	0	447	1	27	23	165	65536
46.1	440.0	2344	0	0	2011	1	48	41	237	65536
47.1	431.1	2309	1	0	1977	1	47	41	237	65536
48.1	458.1	1692	1	0	1180	1	49	40	416	65536
49.1	357.4	1590	0	0	1385	1	27	23	150	65536
50.1	395.6	1942	1	0	1552	1	49	43	289	65536
51.1	401.8	1811	0	0	1577	0	27	46	157	65536
52.1	326.4	1496	1	0	1134	1	49	40	266	65536
53.1	347.3	1561	1	0	1206	1	50	43	254	65536
54.1	334.6	1441	0	0	1067	1	28	25	316	65536
55.1	446.4	2483	1	0	2128	1	47	42	259	65536
56.1	437.7	2376	1	0	1875	1	47	40	408	65536
57.1	762.1	2039	0	0	1699	1	26	46	261	65536
58.1	411.4	1552	1	0	1309	1	31	47	157	65536
59.1	364.7	1752	1	0	1111	1	76	63	493	65536
60.1	383.1	2134	0	0	1832	1	70	37	191	65536
61.1	359.1	1837	0	0	1567	1	41	48	176	65536
62.1	357.4	1676	1	0	1441	1	50	34	143	65536
63.1	360.8	1832	0	0	1593	1	35	57	142	65536
64.1	459.3	2217	0	0	1947	1	36	56	172	65536
65.1	289.8	564	0	0	236	1	33	83	206	65536
66.1	448.8	2176	1	0	1787	1	57	62	261	65536
67.1	368.3	1799	0	0	1549	0	32	76	137	65536
68.1	357.7	1699	1	0	1335	1	60	55	242	65536
69.1	417.6	1681	1	0	1275	1	56	56	286	65536
70.1	429.1	1893	1	0	1535	1	73	59	218	65536
71.1	411.6	1946	0	0	1704	1	32	63	141	65536
72.1	393.3	1609	1	0	1234	1	62	57	249	65536
73.1	358.8	1804	1	0	1228	1	65	60	443	65536
74.1	431.5	2401	1	0	1884	1	57	107	345	65536
75.1	403.0	1835	1	0	1507	1	59	58	205	65536
76.1	398.0	1935	0	0	1578	1	57	56	238	65536
77.1	357.2	1499	0	0	1144	1	55	64	230	65536
78.1	371.9	1563	0	0	1225	1	55	51	224	65536
79.1	385.0	1761	1	0	1230	1	57	55	412	65536
80.1	422.1	2162	0	0	1779	1	56	72	247	65536
81.1	416.8	1661	0	0	1264	1	57	65	267	65536
82.1	377.6	1117	0	0	777	1	58	57	218	65536
83.1	409.1	1800	0	0	1450	1	61	53	229	65536
84.1	432.9	1903	0	0	1672	1	35	31	160	65536
85.1	415.7	1970	0	0	1578	1	56	56	273	65536
86.1	389.3	1960	0	0	1601	1	57	59	235	65536
87.1	393.7	1845	0	0	1495	1	56	60	229	65536
88.1	392.2	1445	0	0	1096	1	56	56	231	65536
89.1	381.1	1582	0	0	1161	1	60	62	294	65536
