==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:12:16 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	331.9	536	377	0	2	0	20	21	113	3114
2.0	262.0	524	370	0	1	0	18	19	111	3114
3.0	335.5	650	389	0	2	0	21	26	209	3114
4.0	349.3	723	472	0	2	0	32	29	184	3114
5.0	332.6	511	342	0	1	0	15	18	131	3114
6.0	316.9	579	403	0	3	0	20	20	128	3114
7.0	350.5	513	348	0	2	0	19	20	122	3114
8.0	314.6	561	367	0	2	0	19	21	150	3114
9.0	329.2	573	393	0	2	0	20	19	135	3114
10.0	336.8	561	351	0	2	0	20	21	163	3114
11.0	332.9	639	465	0	1	0	20	22	127	3114
12.0	276.1	855	513	0	2	0	35	49	252	3114
13.0	238.9	769	509	0	2	0	30	32	191	3114
