==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:07:33 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	426.8	1940	1	0	1642	2	42	41	206	65536
2.0	398.5	559	1	0	6	2	115	59	371	65536
3.0	371.4	747	1	0	445	2	39	37	216	65536
4.0	389.5	1132	1	0	814	1	81	34	197	65536
5.0	468.0	634	1	0	318	1	39	31	239	65536
6.0	407.3	1069	1	0	698	1	48	85	229	65536
7.0	360.1	601	1	0	328	2	37	29	197	65536
8.0	380.4	758	1	0	421	1	34	32	264	65536
9.0	397.3	1026	0	0	701	1	31	30	258	65536
10.0	426.5	1889	2	0	1225	2	158	38	458	65536
11.0	345.6	754	1	0	477	1	31	29	210	65536
12.0	397.3	855	1	0	538	1	41	78	189	65536
13.0	406.9	815	1	0	420	1	47	77	263	65536
14.0	449.9	1378	1	0	1039	1	33	30	267	65536
15.0	380.1	1156	1	0	599	2	44	40	464	65536
