==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 16:06:32 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	449.9	1729	1	0	1358	1	37	33	293	65536
2.0	336.7	815	1	0	625	0	23	30	132	65536
3.0	402.8	1522	1	0	1243	1	81	22	169	65536
4.0	317.4	1042	1	0	742	0	21	21	253	65536
5.0	478.3	1687	1	0	1485	0	28	30	137	65536
6.0	326.6	1055	1	0	689	1	45	33	281	65536
7.0	452.9	2252	1	0	1932	1	38	34	241	65536
8.0	365.9	1324	1	0	1025	1	36	30	225	65536
9.0	369.9	1375	1	0	982	1	37	32	316	65536
10.0	452.3	1455	1	0	1119	1	40	37	250	65536
11.0	365.4	1492	1	0	1177	1	38	33	235	65536
