==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:28:36 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	362.1	747	1	0	481	1	44	42	172	65536
2.0	478.4	504	0	0	2	0	29	107	362	65536
3.0	356.3	183	2	0	2	0	22	24	130	65536
4.0	324.8	164	0	0	2	0	21	21	115	65536
5.0	314.3	200	1	0	2	0	20	30	143	65536
6.0	354.4	1136	0	0	936	0	27	22	146	65536
7.0	311.5	731	1	0	435	1	25	21	244	65536
8.0	423.6	1570	1	0	1185	1	39	77	262	65536
9.0	452.1	1786	1	0	1396	1	42	75	263	65536
10.0	330.8	1263	1	0	904	1	34	31	287	65536
11.0	404.7	1605	1	0	1162	1	46	82	307	65536
12.0	379.6	1311	1	0	846	1	29	31	398	65536
13.0	369.4	1609	1	0	1237	1	40	39	284	65536
14.0	367.3	1209	1	0	812	1	43	42	303	65536
15.0	403.4	996	0	0	709	1	30	30	221	65536
16.0	399.7	1273	1	0	949	1	39	39	237	65536
17.0	438.0	1350	0	0	1090	1	31	28	194	65536
18.0	440.3	1985	0	0	1726	1	26	31	195	65536
19.0	356.4	1502	1	0	1068	1	40	39	348	65536
20.0	372.7	1358	0	0	1035	1	28	79	211	65536
21.0	428.7	1368	0	0	1119	1	28	41	174	65536
22.0	414.3	1495	0	0	1220	1	39	39	190	65536
23.0	295.8	921	1	0	568	1	42	40	263	65536
24.0	407.1	1366	1	0	955	1	45	39	318	65536
25.0	360.2	1297	0	0	939	1	59	60	233	65536
26.0	356.8	1385	0	0	1035	1	55	56	232	65536
27.0	358.0	1413	1	0	1061	1	56	55	233	65536
28.0	373.7	1421	0	0	1129	1	42	46	198	65536
29.0	399.4	565	0	0	273	1	44	60	182	65536
30.0	400.2	616	0	0	3	0	66	52	490	65536
31.0	438.4	227	0	0	3	1	29	29	160	65536
32.0	318.4	329	0	0	3	0	32	31	258	65536
33.0	310.4	250	0	0	4	1	34	38	170	65536
34.0	386.8	245	0	0	3	1	35	34	169	65536
35.0	359.5	275	0	0	4	1	33	30	203	65536
36.0	357.0	379	0	0	4	2	49	42	278	65536
37.0	258.9	267	0	0	3	1	32	36	192	65536
38.1	402.2	346	0	0	24	1	33	26	257	65536
39.1	403.8	223	0	0	3	1	28	29	159	65536
40.1	290.9	235	0	0	3	1	30	29	168	65536
41.1	382.8	497	0	0	251	1	29	32	180	65536
42.1	431.7	227	0	0	3	0	27	27	166	65536
43.1	381.8	341	0	0	105	1	32	37	162	65536
44.1	309.1	348	0	0	4	1	35	41	262	65536
45.1	309.8	271	1	0	4	1	33	42	187	65536
46.1	377.7	510	0	0	267	1	29	43	167	65536
47.1	412.9	551	0	0	241	1	41	41	221	65536
48.1	353.5	253	0	0	3	1	29	27	189	65536
49.1	382.3	256	0	0	3	1	30	36	181	65536
50.1	406.1	231	0	0	3	1	29	30	163	65536
51.1	249.7	246	0	0	3	1	28	37	173	65536
52.1	223.5	463	0	0	3	1	31	37	387	65536
53.1	394.3	1675	0	0	1424	1	28	43	174	65536
54.1	380.1	1416	0	0	1049	1	51	53	257	65536
55.1	358.1	1130	0	0	765	1	55	50	254	65536
56.1	386.5	1189	0	0	843	1	42	49	249	65536
57.1	330.2	1195	0	0	846	1	45	44	252	65536
58.1	420.1	1451	0	0	1092	1	27	27	301	65536
59.1	447.2	1480	0	0	1209	1	28	49	189	65536
60.1	414.8	1790	0	0	1496	1	38	54	196	65536
61.1	364.9	1292	0	0	986	1	57	65	177	65536
62.1	428.2	1605	0	0	1235	1	58	60	245	65536
63.1	428.9	795	0	0	527	1	29	54	179	65536
64.1	407.1	1618	0	0	1381	1	27	32	173	65536
65.1	360.5	1123	0	0	801	1	42	39	234	65536
66.1	445.1	1686	0	0	1369	1	41	40	229	65536
67.1	390.1	1247	0	0	888	1	37	43	273	65536
68.1	376.3	1111	0	0	743	1	58	60	242	65536
69.1	362.2	1373	0	0	878	1	63	71	354	65536
70.1	424.5	1401	0	0	1085	1	49	48	210	65536
71.1	385.4	1193	0	0	874	1	46	39	228	65536
72.1	429.0	1448	0	0	986	1	51	42	360	65536
73.1	422.8	1350	0	0	1050	1	36	31	226	65536
74.1	396.5	535	0	0	270	1	35	45	179	65536
75.1	409.4	521	0	0	238	1	40	34	203	65536
76.1	398.3	1183	0	0	903	1	33	47	196	65536
77.1	412.8	1416	0	0	1097	1	42	40	230	65536
78.1	379.3	1389	0	0	1053	1	54	40	236	65536
79.1	446.5	1541	0	0	1273	1	41	43	178	65536
80.1	416.0	1415	0	0	1129	1	41	59	180	65536
