==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 20:53:31 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	730.9	262	1	0	2	0	31	42	171	65536
2.0	637.5	262	1	0	2	0	31	42	171	65536
3.0	742.6	262	1	0	2	0	31	42	171	65536
4.0	502.9	262	1	0	2	0	31	42	171	65536
5.0	448.1	262	1	0	2	0	31	42	171	65536
6.0	425.3	262	1	0	2	0	31	42	171	65536
7.0	465.8	262	1	0	2	0	31	42	171	65536
8.0	484.5	262	1	0	2	0	31	42	171	65536
9.0	485.0	262	1	0	2	0	31	42	171	65536
10.0	398.1	262	1	0	2	0	31	42	171	65536
11.0	557.5	262	1	0	2	0	31	42	171	65536
12.0	494.9	262	1	0	2	0	31	42	171	65536
13.0	373.6	262	1	0	2	0	31	42	171	65536
14.0	367.4	262	1	0	2	0	31	42	171	65536
15.0	451.9	262	1	0	2	0	31	42	171	65536
16.0	502.4	262	1	0	2	0	31	42	171	65536
17.0	516.0	262	1	0	2	0	31	42	171	65536
18.0	532.7	262	1	0	2	0	31	42	171	65536
19.0	585.4	262	1	0	2	0	31	42	171	65536
20.0	472.4	262	1	0	2	0	31	42	171	65536
21.0	445.3	262	1	0	2	0	31	42	171	65536
22.0	513.7	262	1	0	2	0	31	42	171	65536
