==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 19:12:19 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	286.4	192	4	0	2	0	19	24	138	65536
2.0	305.3	194	4	0	2	0	21	24	138	65536
3.0	307.7	185	4	0	2	0	20	24	131	65536
4.0	309.0	198	4	0	2	1	22	25	139	65536
5.0	248.8	163	5	0	2	0	20	22	109	65536
6.0	292.6	227	5	0	2	0	23	24	167	65536
7.0	302.2	199	5	0	2	1	21	24	143	65536
8.0	213.9	168	5	0	1	0	19	22	116	65536
9.0	201.5	178	5	0	2	0	24	24	118	65536
10.0	178.1	413	8	0	5	2	48	49	292	65536
11.0	162.4	234	7	0	2	0	24	34	160	65536
12.0	164.4	198	7	0	3	0	21	25	137	65536
13.0	155.7	366	8	0	7	3	50	45	246	65536
