==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:16:37 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	422.5	337	0	0	3	0	30	31	268	65536
2.0	366.8	928	1	0	529	1	54	95	242	65536
3.0	255.0	433	0	0	5	1	44	54	323	65536
4.0	266.5	567	1	0	4	1	34	95	429	65536
5.0	274.3	432	1	0	7	3	77	73	266	65536
6.0	318.8	417	2	0	3	1	40	40	326	65536
7.0	235.7	409	1	0	3	1	47	42	311	65536
8.0	331.6	335	0	0	3	0	28	23	277	65536
9.0	361.4	515	0	0	3	1	32	30	446	65536
10.0	326.1	601	1	0	4	1	42	43	506	65536
11.0	308.0	422	1	0	4	1	38	45	329	65536
12.0	288.1	585	1	0	4	1	59	72	443	65536
13.0	293.5	481	1	0	5	1	64	70	335	65536
14.0	274.3	430	0	0	4	0	31	25	366	65536
15.0	243.9	514	1	0	6	1	58	67	375	65536
16.0	382.2	368	0	0	3	1	28	33	299	65536
17.0	387.7	666	1	0	203	1	55	82	317	65536
18.0	344.7	363	0	0	3	1	39	40	275	65536
19.0	359.9	212	0	0	3	0	26	28	150	65536
