==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:49:26 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	461.2	1525	70	0	1113	1	40	38	255	65536
2.0	379.7	999	1	0	800	1	24	39	129	65536
3.0	367.4	1802	1	0	1482	1	44	36	232	65536
4.0	374.4	1309	1	0	931	1	43	96	231	65536
5.0	416.6	1499	1	0	1177	1	41	40	233	65536
6.0	368.7	951	1	0	680	1	25	22	217	65536
7.0	450.2	1548	1	0	910	2	43	38	547	65536
8.0	407.0	1810	1	0	1489	2	40	36	236	65536
9.0	399.5	1679	1	0	1312	1	42	55	261	65536
10.0	349.2	1168	1	0	675	1	40	37	406	65536
11.0	428.9	1653	1	0	1330	1	43	34	239	65536
12.0	382.5	1296	1	0	893	1	42	33	321	65536
13.0	405.2	1369	1	0	1033	1	40	51	236	65536
