==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:00:28 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	552.1	652	1	0	3	0	37	49	234	65536
2.0	549.9	652	1	0	3	0	37	49	234	65536
3.0	490.3	652	1	0	3	0	37	49	234	65536
4.0	530.6	652	1	0	3	0	37	49	234	65536
5.0	499.6	652	1	0	3	0	37	49	234	65536
6.0	582.2	652	1	0	3	0	37	49	234	65536
7.0	497.0	652	1	0	3	0	37	49	234	65536
8.0	570.0	652	1	0	3	0	37	49	234	65536
9.0	537.1	652	1	0	3	0	37	49	234	65536
10.0	551.5	652	1	0	3	0	37	49	234	65536
11.0	466.6	652	1	0	3	0	37	49	234	65536
12.0	420.3	652	1	0	3	0	37	49	234	65536
13.0	488.5	652	1	0	3	0	37	49	234	65536
14.0	589.5	652	1	0	3	0	37	49	234	65536
