==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:14:19 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	525.7	1208	1	0	3	1	61	186	798	65536
2.0	374.6	1208	1	0	3	1	61	186	798	65536
3.0	375.7	1208	1	0	3	1	61	186	798	65536
4.0	497.8	1208	1	0	3	1	61	186	798	65536
5.0	415.3	1208	1	0	3	1	61	186	798	65536
6.0	402.7	1208	1	0	3	1	61	186	798	65536
7.0	449.6	1208	1	0	3	1	61	186	798	65536
8.0	348.9	1208	1	0	3	1	61	186	798	65536
9.0	466.0	1208	1	0	3	1	61	186	798	65536
10.0	353.1	1208	1	0	3	1	61	186	798	65536
11.0	540.1	1208	1	0	3	1	61	186	798	65536
12.0	390.9	1208	1	0	3	1	61	186	798	65536
13.0	479.8	1208	1	0	3	1	61	186	798	65536
