==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:46:57 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	376.0	1271	1	0	987	1	37	33	205	65536
2.0	410.0	1358	2	0	1052	2	40	38	218	65536
3.0	484.8	1949	1	0	1601	1	51	52	237	65536
4.0	383.5	1013	1	0	731	1	43	34	196	65536
5.0	423.5	2012	1	0	1751	2	46	38	168	65536
6.0	337.9	820	1	0	517	1	33	26	237	65536
7.0	370.5	996	2	0	691	2	53	37	203	65536
8.0	413.7	885	1	0	506	1	43	33	293	65536
9.0	237.4	930	1	0	9	3	82	89	739	65536
10.0	377.9	948	1	0	606	2	46	51	237	65536
11.0	428.6	703	1	0	489	1	28	23	156	65536
