==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:32:27 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	374.2	1797	0	0	1467	1	25	47	252	65536
2.0	336.7	1142	0	0	908	0	27	46	157	65536
3.0	354.3	294	0	0	126	0	22	24	118	65536
4.0	360.8	187	0	0	2	0	24	21	136	65536
5.0	324.8	263	1	0	4	1	36	30	187	65536
6.0	313.4	312	1	0	36	1	36	39	196	65536
7.0	390.7	1356	1	0	1026	1	44	42	237	65536
8.0	387.8	798	2	0	241	1	59	122	367	65536
9.0	355.1	335	0	0	2	0	31	31	266	65536
10.0	296.9	257	0	0	2	0	20	82	149	65536
11.0	365.6	1735	2	0	1336	1	43	46	300	65536
12.0	504.2	928	1	0	555	1	29	28	309	65536
13.0	338.7	427	1	0	5	1	56	36	324	65536
14.0	398.6	1150	1	0	788	1	36	52	268	65536
15.0	337.1	716	0	0	313	1	39	29	327	65536
16.0	365.2	664	0	0	325	1	32	31	271	65536
