==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 12:01:25 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	430.4	1665	1	0	1211	1	37	190	220	65536
2.0	395.9	1485	1	0	1130	1	51	48	248	65536
3.0	372.4	788	1	0	9	2	84	97	589	65536
4.0	430.8	1064	1	0	724	1	36	34	262	65536
5.0	453.9	1678	1	0	1301	1	51	89	229	65536
6.0	361.7	1022	1	0	668	1	47	41	257	65536
7.0	444.8	1579	1	0	1247	1	38	36	250	65536
8.0	390.1	1705	1	0	1372	1	39	37	249	65536
9.0	403.8	810	1	0	599	0	23	21	161	65536
10.0	414.1	986	1	0	664	1	39	38	238	65536
11.0	416.7	1567	1	0	1264	1	37	33	227	65536
12.0	400.0	1557	1	0	1170	1	37	38	302	65536
13.0	452.0	1053	1	0	661	1	43	35	306	65536
