==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:43:37 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	412.7	280	1	0	58	0	19	19	179	65536
2.0	457.8	1540	1	0	1209	1	49	46	228	65536
3.0	408.1	1358	1	0	1107	0	20	16	210	65536
4.0	369.9	1590	1	0	1300	1	41	36	205	65536
5.0	417.0	1453	1	0	1180	0	29	82	156	65536
6.0	329.3	603	1	0	399	1	31	21	146	65536
7.0	441.1	1731	1	0	1329	1	39	109	245	65536
8.0	387.4	1289	1	0	1095	0	21	20	147	65536
9.0	372.6	773	1	0	580	1	20	22	145	65536
10.0	422.2	1630	1	0	1299	1	40	37	245	65536
11.0	403.9	873	1	0	662	0	22	21	161	65536
12.0	367.5	539	2	0	150	1	46	63	270	65536
13.0	366.2	586	1	0	386	1	26	21	147	65536
14.0	429.8	1292	2	0	950	2	40	37	256	65536
15.0	446.7	1633	1	0	1310	1	40	37	237	65536
16.0	537.1	1408	2	0	1047	2	40	49	262	65536
17.0	325.8	801	1	0	622	1	21	18	134	65536
18.0	423.1	1112	2	0	763	1	40	35	266	65536
19.0	403.6	1543	1	0	1245	1	43	34	213	65536
