==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 20:57:38 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	492.5	216	1	0	2	1	35	33	142	65536
2.0	491.6	216	1	0	2	1	35	33	142	65536
3.0	470.2	216	1	0	2	1	35	33	142	65536
4.0	358.7	216	1	0	2	1	35	33	142	65536
5.0	365.4	216	1	0	2	1	35	33	142	65536
6.0	498.0	216	1	0	2	1	35	33	142	65536
7.0	479.2	216	1	0	2	1	35	33	142	65536
8.0	483.9	216	1	0	2	1	35	33	142	65536
9.0	477.8	216	1	0	2	1	35	33	142	65536
10.0	462.6	216	1	0	2	1	35	33	142	65536
11.0	565.8	216	1	0	2	1	35	33	142	65536
12.0	447.2	216	1	0	2	1	35	33	142	65536
13.0	486.0	216	1	0	2	1	35	33	142	65536
14.0	498.2	216	1	0	2	1	35	33	142	65536
15.0	477.3	216	1	0	2	1	35	33	142	65536
16.0	464.8	216	1	0	2	1	35	33	142	65536
17.0	521.1	216	1	0	2	1	35	33	142	65536
18.0	474.9	216	1	0	2	1	35	33	142	65536
19.0	454.9	216	1	0	2	1	35	33	142	65536
