==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-17 18:55:15 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	407.1	2327	0	0	2048	1	36	33	204	65536
2.0	354.2	2228	0	0	1855	1	48	44	276	65536
3.0	365.1	1922	0	0	1759	0	21	17	123	65536
4.0	332.3	1686	0	0	1532	0	20	16	114	65536
5.0	393.2	1972	0	0	1665	1	42	28	230	65536
6.0	320.6	2251	0	0	1912	1	43	35	255	65536
7.0	387.4	2544	0	0	2213	1	44	38	242	65536
8.0	400.5	2596	0	0	2241	1	45	52	250	65536
9.0	363.6	1961	0	0	1780	0	20	16	140	65536
10.0	418.1	2456	0	0	2124	1	42	34	250	65536
11.0	394.4	2522	0	0	2216	1	41	30	229	65536
12.0	244.7	3763	1	0	2950	1	38	141	627	65536
13.0	314.1	2104	0	0	1678	1	51	105	264	65536
14.0	377.9	2378	0	0	1893	1	57	97	325	65536
15.0	276.0	1718	0	0	1381	1	37	52	243	65536
16.0	350.4	2331	0	0	2019	1	46	71	191	65536
17.0	393.7	2498	0	0	2225	0	25	85	159	65536
18.0	346.4	2177	0	0	1848	1	43	29	250	65536
19.0	401.5	2033	0	0	1810	1	42	35	138	65536
20.0	327.8	1986	0	0	1625	1	36	35	286	65536
21.0	417.1	2588	0	0	2363	1	28	36	155	65536
22.0	434.4	2654	0	0	2081	1	59	122	387	65536
23.0	404.7	2507	0	0	2175	1	49	35	241	65536
24.0	398.6	2295	0	0	2010	1	31	33	217	65536
25.0	365.2	1779	0	0	1470	1	42	32	229	65536
26.0	363.5	3128	2	0	2231	4	123	122	637	65536
27.0	345.6	2266	0	0	1924	1	52	45	239	65536
28.0	340.9	2291	0	0	1789	1	45	73	379	65536
29.0	320.6	2435	1	0	1959	1	39	36	394	65536
30.0	502.4	2602	0	0	2404	1	23	38	131	65536
31.1	367.6	2312	1	0	1991	1	38	36	240	65536
32.1	330.0	2229	0	0	1887	1	36	32	268	65536
33.1	433.3	2587	1	0	2163	1	58	67	290	65536
34.1	385.9	2751	0	0	2332	1	63	48	302	65536
35.1	363.2	2172	0	0	1914	1	40	35	177	65536
36.1	338.1	2243	1	0	1827	1	92	73	244	65536
37.1	392.9	2077	0	0	1736	1	64	45	227	65536
38.1	390.2	2429	0	0	1788	1	70	73	491	65536
39.1	389.3	2352	0	0	2052	1	49	63	182	65536
40.1	328.1	2187	0	0	1868	1	49	46	216	65536
41.1	335.6	2383	0	0	2145	0	32	57	144	65536
42.1	393.2	2188	0	0	1941	0	21	29	192	65536
43.1	334.6	2497	0	0	1887	1	44	35	523	65536
44.1	361.2	2102	1	0	1854	1	57	39	142	65536
45.1	371.0	2094	0	0	1904	0	20	30	137	65536
46.1	369.5	1916	0	0	1753	0	19	29	111	65536
47.1	377.1	2528	0	0	2148	1	38	56	280	65536
48.1	405.3	2583	0	0	2295	1	38	36	208	65536
49.1	354.1	2217	2	0	1887	1	39	42	240	65536
50.1	342.9	2188	0	0	1882	1	41	31	227	65536
51.1	406.4	2350	0	0	2068	1	49	47	180	65536
52.1	344.9	2675	2	0	2348	2	54	33	226	65536
53.1	380.0	2019	0	0	1598	1	93	42	278	65536
54.1	368.8	2481	2	0	1950	1	47	39	437	65536
55.1	429.4	2602	0	0	2278	1	53	41	223	65536
56.1	356.1	2100	0	0	1817	1	41	32	204	65536
57.1	360.7	2409	1	0	2076	1	47	40	238	65536
58.1	405.3	2586	0	0	2136	1	41	32	370	65536
59.1	335.6	2142	0	0	1811	1	46	43	237	65536
60.1	361.5	2491	0	0	2175	1	59	53	198	65536
61.1	353.9	2202	0	0	1905	1	41	32	218	65536
62.1	361.2	2056	0	0	1802	0	22	17	211	65536
63.1	361.9	2337	0	0	1964	1	90	36	240	65536
64.1	338.6	2188	3	0	1633	2	45	38	457	65536
65.1	411.3	2538	0	0	2153	1	41	112	225	65536
66.1	335.3	2161	0	0	1923	0	26	35	173	65536
67.1	340.7	2191	0	0	1679	44	43	176	242	65536
68.1	355.3	2498	3	0	1819	9	143	93	414	65536
69.1	420.1	2657	0	0	2372	1	40	33	205	65536
70.1	394.7	2528	0	0	2204	1	41	69	209	65536
71.1	413.5	2622	0	0	2451	0	24	19	124	65536
72.1	405.6	2832	0	0	2481	1	85	35	224	65536
73.1	340.0	2030	0	0	1745	1	41	31	206	65536
74.1	387.3	2588	0	0	2243	1	54	49	235	65536
75.1	316.8	2217	0	0	1760	1	55	50	346	65536
76.1	368.9	2263	0	0	2046	0	28	43	142	65536
77.1	368.0	2788	0	0	2270	1	64	69	378	65536
78.1	332.2	2476	1	0	2043	2	71	66	287	65536
79.1	261.2	2149	1	0	1628	1	140	63	313	65536
80.1	394.4	2314	1	0	2040	1	48	69	147	65536
81.1	366.0	2660	0	0	2244	1	53	45	312	65536
82.1	340.8	1952	0	0	1758	0	27	48	115	65536
83.1	388.4	2233	1	0	1966	1	37	79	143	65536
84.1	352.6	2224	0	0	1902	1	53	45	218	65536
85.1	418.3	2260	1	0	1918	1	54	45	236	65536
86.1	418.8	2666	0	0	2329	1	54	48	229	65536
87.1	334.9	2351	0	0	2012	1	55	45	233	65536
88.1	315.0	1844	0	0	1578	1	83	33	145	65536
89.1	411.2	2449	0	0	2090	1	54	70	228	65536
90.1	358.9	2226	1	0	1992	1	37	41	150	65536
91.1	358.4	2041	0	0	1761	1	35	37	202	65536
92.1	329.5	2106	0	0	1780	1	28	26	267	65536
93.1	387.5	2038	1	0	1824	1	37	35	135	65536
94.1	370.8	2225	0	0	1933	1	37	39	210	65536
95.2	388.0	2135	1	0	1845	1	38	40	206	65536
96.2	322.4	2413	0	0	2178	0	21	81	129	65536
97.2	337.5	2067	0	0	1725	1	40	40	254	65536
98.2	359.1	2059	0	0	1781	1	40	37	193	65536
99.2	354.7	2119	0	0	1816	1	41	34	221	65536
100.2	382.6	2599	0	0	2096	1	52	45	399	65536
101.2	402.5	2578	0	0	2279	1	118	30	143	65536
102.2	333.6	1910	0	0	1626	1	52	44	182	65536
103.2	348.3	2299	0	0	1986	1	51	44	212	65536
104.2	402.1	900	0	0	508	0	31	49	307	65536
105.2	344.7	716	1	0	325	0	35	84	266	65536
106.2	361.7	2543	0	0	2226	1	53	45	213	65536
107.2	346.1	2433	0	0	2035	1	122	45	224	65536
108.2	383.9	3090	1	0	2748	1	118	49	168	65536
109.2	382.5	2839	0	0	2473	1	53	73	234	65536
110.2	374.1	2314	1	0	2007	1	26	40	234	65536
111.2	340.7	2447	0	0	2155	1	34	38	213	65536
112.2	356.2	2155	1	0	1875	1	35	30	207	65536
113.2	362.6	2365	0	0	2159	0	20	18	162	65536
114.2	394.1	2617	0	0	2252	1	36	32	292	65536
115.2	345.4	2035	1	0	1715	1	50	47	216	65536
116.2	403.9	2437	0	0	2155	1	61	30	186	65536
