==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-19 07:55:26 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	410.7	2820	1	0	2342	1	46	40	385	65536
2.0	359.1	2145	1	0	1831	1	59	62	184	65536
3.0	399.9	2095	1	0	1773	1	41	35	238	65536
4.0	423.4	2090	0	0	1902	1	25	21	136	65536
5.0	415.5	2816	1	0	2483	1	45	42	237	65536
6.0	365.6	2290	1	0	2059	1	24	24	177	65536
7.0	333.4	2125	0	0	1906	0	21	28	165	65536
8.0	339.6	2170	1	0	1800	1	44	39	279	65536
9.0	998.0	653	0	0	418	0	21	22	187	65536
10.0	381.3	2399	1	0	2021	1	43	59	269	65536
11.0	406.1	705	1	0	499	1	27	23	151	65536
12.0	419.4	1949	1	0	1491	1	66	97	286	65536
13.0	362.0	1024	1	0	621	1	47	62	288	65536
14.0	420.9	1675	0	0	1417	0	32	30	190	65536
15.0	359.9	1675	0	0	1438	0	31	30	171	65536
16.0	361.2	1349	0	0	1142	1	31	31	140	65536
17.0	389.3	1885	1	0	1478	1	61	80	259	65536
18.0	427.6	1637	1	0	1268	1	60	78	224	65536
19.0	421.4	1903	0	0	1332	0	41	37	488	65536
20.0	299.9	1418	1	0	1067	1	57	52	234	65536
21.0	419.7	2002	1	0	1637	1	59	58	241	65536
22.0	372.5	1438	1	0	1119	1	42	41	229	65536
23.0	441.4	1725	0	0	1394	1	34	34	258	65536
24.0	430.1	1794	1	0	1442	1	59	58	227	65536
25.0	366.8	1647	1	0	1270	1	42	43	285	65536
26.0	340.4	1646	0	0	1081	1	25	25	509	65536
27.0	369.3	1591	1	0	1026	1	121	38	399	65536
28.0	431.0	1776	1	0	1444	2	43	44	236	65536
29.0	430.2	1809	1	0	1489	1	41	41	230	65536
30.0	430.2	1426	1	0	1083	1	59	66	210	65536
31.0	421.8	1691	1	0	1321	1	63	60	239	65536
32.0	421.3	1813	1	0	1487	1	42	43	234	65536
33.1	333.4	1416	1	0	1088	1	43	42	236	65536
34.1	403.8	628	0	0	409	1	24	34	155	65536
35.1	360.6	1713	1	0	1328	1	43	55	280	65536
36.1	405.2	1820	1	0	1473	1	42	43	254	65536
37.1	365.5	1468	0	0	1137	1	55	59	210	65536
38.1	420.9	2085	1	0	1587	2	66	62	361	65536
39.1	422.2	815	0	0	607	1	30	24	149	65536
40.1	367.6	1647	1	0	1310	1	47	42	238	65536
41.1	389.5	1881	1	0	1513	1	47	41	272	65536
42.1	404.7	2018	1	0	1652	1	44	36	278	65536
43.1	439.2	2243	1	0	1876	2	47	44	267	65536
44.1	361.5	1561	1	0	1152	1	46	105	249	65536
45.1	399.5	1047	1	0	683	1	49	40	267	65536
46.1	426.1	2220	1	0	1752	2	48	53	358	65536
47.1	424.9	2036	1	0	1694	2	48	44	242	65536
48.1	401.3	2048	1	0	1496	3	56	57	429	65536
49.1	436.0	1794	1	0	1427	1	56	58	245	65536
50.1	488.1	1988	0	0	1622	1	55	62	242	65536
51.1	389.5	1922	0	0	1583	1	54	62	216	65536
52.1	374.6	1471	0	0	1119	1	54	59	233	65536
53.1	394.7	1949	4	0	1539	5	57	69	260	65536
54.1	458.0	2314	1	0	1921	1	55	88	241	65536
55.1	396.4	1942	1	0	1576	2	55	61	241	65536
56.1	341.9	1477	0	0	1099	1	54	65	252	65536
57.1	458.4	2295	1	0	1710	2	62	75	438	65536
58.1	355.5	1857	1	0	1433	2	57	59	300	65536
59.1	383.8	1962	0	0	1645	1	41	40	228	65536
60.1	412.6	1463	0	0	1077	1	50	47	282	65536
61.1	313.3	1185	0	0	791	1	43	40	304	65536
62.1	372.1	2213	0	0	1833	1	43	45	285	65536
63.1	429.9	1622	0	0	1361	1	23	23	209	65536
64.1	430.2	1368	0	0	973	1	41	40	306	65536
65.1	456.8	2671	1	0	1953	2	46	45	619	65536
66.1	336.4	1708	0	0	1391	1	41	42	227	65536
67.1	419.0	1536	1	0	1159	1	61	42	266	65536
68.1	389.1	1446	0	0	1236	1	29	26	150	65536
69.1	383.3	1850	0	0	1303	1	64	54	421	65536
70.1	391.1	1701	1	0	1302	1	51	44	297	65536
71.1	429.8	1770	0	0	1461	2	50	38	213	65536
72.1	379.9	1585	0	0	1156	1	56	41	324	65536
73.1	433.2	1981	0	0	1764	1	30	43	137	65536
74.1	365.7	1653	0	0	1346	1	46	43	210	65536
75.1	382.7	1786	0	0	1437	1	47	41	254	65536
76.1	415.8	1969	0	0	1721	1	30	41	172	65536
77.1	443.3	2243	0	0	2009	1	24	41	164	65536
78.1	332.9	1376	0	0	1111	1	32	64	162	65536
