==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 20:39:05 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	104.7	187	4	0	4	0	28	22	122	65536
2.0	112.3	276	4	0	1	0	20	24	221	65536
3.0	116.5	178	4	0	2	0	21	21	124	65536
4.0	116.5	357	5	0	2	1	33	34	274	65536
5.0	112.9	416	8	0	5	3	62	44	281	65536
6.0	114.2	182	4	0	2	0	22	21	127	65536
7.0	119.5	391	8	0	5	3	92	28	240	65536
8.0	109.9	173	4	0	1	0	18	18	125	65536
9.0	113.8	192	9	0	7	0	21	21	128	65536
10.0	106.9	293	5	0	2	1	30	26	223	65536
11.0	110.7	190	5	0	1	0	21	26	131	65536
12.0	117.2	176	5	0	2	0	21	21	122	65536
13.1	116.0	398	15	0	11	8	129	60	145	65536
