==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:07:03 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	487.4	199	4	0	7	3	64	40	115	65536
2.0	446.8	199	4	0	7	3	64	40	115	65536
3.0	529.2	199	4	0	7	3	64	40	115	65536
4.0	440.1	199	4	0	7	3	64	40	115	65536
5.0	439.8	199	4	0	7	3	64	40	115	65536
6.0	551.4	199	4	0	7	3	64	40	115	65536
7.0	371.6	199	4	0	7	3	64	40	115	65536
8.0	430.6	199	4	0	7	3	64	40	115	65536
9.0	570.5	199	4	0	7	3	64	40	115	65536
10.0	556.6	199	4	0	7	3	64	40	115	65536
11.0	474.5	199	4	0	7	3	64	40	115	65536
12.0	461.5	199	4	0	7	3	64	40	115	65536
13.0	449.3	199	4	0	7	3	64	40	115	65536
14.0	475.6	199	4	0	7	3	64	40	115	65536
15.0	510.7	199	4	0	7	3	64	40	115	65536
