==== 钢铁前线 性能日志 =====
版本: 0.1.0 | 启动: 2026-08-18 21:10:37 | GPU: NVIDIA GeForce RTX 5060 Laptop GPU | CPU: AMD 32线程 | 窗口: 2560x1600
----------------------------------
时间(s)	fps	frame_us	cull	terrain	wait	acquire	record	submit	present	near
1.0	419.3	585	380	0	2	0	24	19	118	3114
2.0	419.0	585	380	0	2	0	24	19	118	3114
3.0	508.0	585	380	0	2	0	24	19	118	3114
4.0	460.6	585	380	0	2	0	24	19	118	3114
5.0	432.8	585	380	0	2	0	24	19	118	3114
6.0	437.0	585	380	0	2	0	24	19	118	3114
7.0	509.3	585	380	0	2	0	24	19	118	3114
8.0	438.1	585	380	0	2	0	24	19	118	3114
9.0	547.6	585	380	0	2	0	24	19	118	3114
10.0	366.4	585	380	0	2	0	24	19	118	3114
11.0	506.0	585	380	0	2	0	24	19	118	3114
12.0	452.0	585	380	0	2	0	24	19	118	3114
13.0	438.6	585	380	0	2	0	24	19	118	3114
